concentration,bloc_correlation,bias_std,mean_expertise,panel_size,n_items,seed,n_trios,eie_error,mv_error,mean_abs_pair_corr
0.0,0.9,0.3,0.75,6,300,6,6,0.1025369902872691,0.07843068007067386,0.014442812433103247
0.0,0.9,0.3,0.75,6,300,7,5,0.10262860011646088,0.10586021627931877,0.008140790909464487
0.0,0.9,0.3,0.75,6,300,8,1,0.2638804853479767,0.07421471801947926,0.007330055320200596
0.0,0.9,0.3,0.75,6,300,9,6,0.17940914004929445,0.12204787355726177,0.011485814962387665
0.0,0.9,0.3,0.75,6,300,10,6,0.09242523851620345,0.12534518190994046,0.01024899334035304
0.0,0.9,0.3,0.75,6,300,11,6,0.089616968795335,0.07479481691199096,0.03554634914241387
0.0,0.9,0.3,0.75,6,300,12,6,0.12316437351200693,0.09010408775187016,0.013453954237662396
0.0,0.9,0.3,0.75,6,300,13,5,0.16749925559421092,0.11543152572863782,0.019354831216159097
0.0,0.9,0.3,0.75,6,300,14,6,0.11456284241335313,0.0837975685274448,0.013053792739330656
0.0,0.9,0.3,0.75,6,300,15,6,0.0925339635626747,0.12358364096410085,0.007689133671179602
0.0,0.9,0.3,0.75,6,300,16,6,0.18640091771283815,0.15469694887143906,0.006447702789232977
0.0,0.9,0.3,0.75,6,300,17,3,0.13172779496139506,0.08057282362355973,0.007725925925925925
0.0,0.9,0.3,0.75,6,300,18,6,0.1254652316377064,0.11958658080358091,0.0062537857342878705
0.0,0.9,0.3,0.75,6,300,19,6,0.1832622766981965,0.1294699263389573,0.01781926192388605
0.0,0.9,0.3,0.75,6,300,20,6,0.08408777932085575,0.07490063777477941,0.00854452884530074
0.0,0.9,0.3,0.75,6,300,21,6,0.10663639835075496,0.09376391936608887,0.013310288549198022
0.0,0.9,0.3,0.75,6,300,22,6,0.14793475032730072,0.10724855126939552,0.018142996771946012
0.0,0.9,0.3,0.75,6,300,23,3,0.15967839848624682,0.1625560263540328,0.021440517872704193
0.0,0.9,0.5,0.65,6,300,0,1,0.16445970299821508,0.21007491789819385,0.013630155187074831
0.0,0.9,0.5,0.65,6,300,1,5,0.21706195432270564,0.09987161685715254,0.011127053042113923
0.0,0.9,0.5,0.65,6,300,2,2,0.23846751048745468,0.1785767550667,0.05408267658212501
0.0,0.9,0.5,0.65,6,300,3,5,0.14935550971323996,0.13980400629765902,0.058418128546732985
0.0,0.9,0.5,0.65,6,300,4,2,0.287768251413684,0.14744766961201308,0.01566515273043508
0.0,0.9,0.5,0.65,6,300,5,6,0.22693719247207564,0.19601353959627552,0.022717537734609234
0.0,0.9,0.5,0.65,6,300,6,2,0.36585331264668675,0.15251374764740502,0.01103914408108806
0.0,0.9,0.5,0.65,6,300,7,4,0.1643244245520396,0.1537873189610566,0.009797018409121143
